language_ky,trans_col_type_ky,trans_col_value,status_ky,isdefault,ietf_lang_script_tag,use_as_local_language,is_native,id_no
21,23,(P) 1980 BMG Music,R,N,en,N,Y,0
21,21,Peter Gunn,R,N,en,N,Y,0
21,22,1993 Remastered,R,N,en,N,Y,0
21,23,"(P) 2004 BMG Music, a unit of BMG Music",R,N,en,N,Y,0
21,21,Back Of Da Club,R,N,en,N,Y,0
21,22,Clean,R,N,en,N,Y,0
21,23,(P) 2004 Sony Music Entertainment UK Limited,R,N,en,N,Y,0
21,21,Club Foot,R,N,en,N,Y,0
21,23,(P) 2004 Zomba Recording LLC,R,N,en,N,Y,0
21,21,Freek-A-Leek,R,N,en,N,Y,0
21,22,Remix,R,N,en,N,Y,0
