name_nm,perf_artist_tx,duration_no,isrc_number_tx,perf_pline_tx,status_ky,last_upd_src_sys_ky,explicit_lyrics_in,rep_owner_ky,taken_from_isrc_id,track_media_ky,track_type_ky,updated_flag_in,track_ext,raas_track_no,track_no,error_flag_in,track_subtype_ky,set_complete_in,c_line,grid_id,related_audio_isrc,live_indicator,rep_owner_parent_ky,raas_init_dt,set_complete_dt,language_ky,confidential_flag,related_audio_isrc_reviewed_in,cline_for_lyrics,audio_encoding_ky,video_encoding_ky,orig_release_date,orig_rel_date_override
,Heather Headley,348,USRC10503598,(P)  2005 SONY BMG MUSIC ENTERTAINMENT,R,1,,900092847,,1,78,,  ,,Z2157097620051117,N,1,Y,,A10301A0000670904B,,N,900094151,2005-11-17,2005-12-19 20:05:21,21,N,,,0.0,,2005-09-20,Y
Remix,Petey Pablo feat. Twista & Jermaine Dupri,405,USJI10400383,(P) 2004 Zomba Recording LLC,R,1,N,900094098,,1,78,,  ,,B1630274020040415,N,1,Y,,A10301A0000274856T,,N,900094151,2004-04-15,2004-05-03 20:29:57,21,N,,,0.0,,2004-04-12,Y
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,A0452537920050530,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,B1037595620050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,B1038058720050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,B1038096920050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,B1038101620050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,D1037557520050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,D1038107520050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,F1037568220050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,F1038143620050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H1038031120050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,I1038003620050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,I1038078320050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,I1038093220050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,K1037495620050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,L1038113420050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,M1037536320050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,M1037553620050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,N1038089320050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,O1037573320050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,O1038042220050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,O1038129920050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,P1038062520050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Q1037516220050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Q1038054820050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,R1038074320050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,S1038123520050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,T1037584720050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,T1038103720050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,W1038048520050812,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Y0234384220050510,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Z1038132420050812,,0,,,,,,0,,,0,,,,0.0,,,
Clean,Mashonda,338,USJAY0500063,"(P) 2004 BMG Music, a unit of BMG Music",R,1,N,900092323,,1,78,,  ,,22111224820050118,N,1,Y,,A10301A0000497674V,,N,900094151,2005-01-18,2005-01-19 18:42:30,21,N,,,0.0,,2004-11-01,Y
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,A1614328320050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,D1614368420050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,D1614457420050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,F1614402020050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,G1614256320050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,G1614344120050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,G1614353020050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H1614308020050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,H1614514320050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,K1614279720050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,M1614442920050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,O1614183920050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Q1614467620050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,R1614479220050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,T1614428020050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,U1614493020050722,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,W1614505920050722,,0,,,,,,0,,,0,,,,0.0,,,
