language_ky,trans_col_type_ky,trans_col_value,status_ky,isdefault,ietf_lang_script_tag,use_as_local_language,is_native,id_no
21,43,Kasabian,R,N,en,N,Y,0
75,43,Kasabian,R,N,ja-Hani,Y,N,0
76,43,カサビアン,R,N,ja-Kana,Y,N,0
73,43,卡薩比恩,R,N,cmn-Hant,Y,N,0
21,41,Club Foot,R,N,en,N,Y,0
21,43,Petey Pablo feat. Twista & Jermaine Dupri,R,N,en,N,Y,0
21,47,Remix,R,N,en,N,Y,0
21,41,Freek-A-Leek,R,N,en,N,Y,0
21,43,Mashonda,R,N,en,N,N,0
75,43,マションダ,R,N,ja-Hani,Y,N,0
76,43,マションダ,R,N,ja-Kana,Y,N,0
21,41,Back Of Da Club,R,N,en,N,Y,0
