language_ky,trans_col_type_ky,trans_col_value,status_ky,isdefault,ietf_lang_script_tag,use_as_local_language,is_native,id_no
21,11,Gileno,R,N,en,N,Y,0
21,11,Leno e Lilian,R,N,en,N,Y,0
21,11,John Bunch,R,N,en,N,Y,0
21,11,Mitch Miller,R,N,en,N,Y,0
21,11,Alfred Brown,R,N,en,N,Y,0
21,11,B. Green,R,N,en,N,N,0
75,11,B. Green,R,N,ja-Hani,Y,N,0
21,11,Howard A. Roberts,R,N,en,N,Y,0
21,11,Andre Fischer,R,N,en,N,N,0
75,11,アンドレ・フィッシャー,R,N,ja-Hani,Y,N,0
21,11,Joe Soldo,R,N,en,N,Y,0
21,11,Bernie Glow,R,N,en,N,Y,0
21,11,Producer not documented on available sources,R,N,en,N,Y,0
21,11,R. Noble,R,N,en,N,Y,0
21,11,Sy Berger,R,N,en,N,Y,0
21,11,Don DeVito,R,N,en,N,Y,0
73,11,戴夫布魯貝克,R,N,cmn-Hant,Y,N,0
21,11,Dave Brubeck,R,N,en,N,Y,0
75,11,DAVE BRUBECK,R,N,ja-Hani,Y,N,0
21,11,Frank DeVol & His Orchestra,R,N,en,N,Y,0
21,11,Mel Davis,R,N,en,N,Y,0
21,11,Isham Jones,R,N,en,N,Y,0
75,11,Isham Jones,R,N,ja-Hani,Y,N,0
76,11,　,R,N,ja-Kana,Y,N,0
75,11,Ira Gershwin,R,N,ja-Hani,Y,N,0
76,11,イーラガーシュイン,R,N,ja-Kana,Y,N,0
21,11,Ira Gershwin,R,N,en,N,Y,0
21,11,C. Porter,R,N,en,N,Y,0
21,11,I. Mills,R,N,en,N,Y,0
21,11,Jerome Kern,R,N,en,N,Y,0
21,11,B. Green,R,N,en,N,Y,0
21,11,Sol Schlinger,R,N,en,N,Y,0
73,11,肯尼布瑞爾,R,N,cmn-Hant,Y,N,0
21,11,Kenny Burrell,R,N,en,N,Y,0
73,11,胖子華勒,R,N,cmn-Hant,Y,N,0
21,11,Fats Waller,R,N,en,N,Y,0
21,11,David Kahne,R,N,en,N,Y,0
21,11,V. Duke,R,N,en,N,Y,0
21,11,Eugene Wright,R,N,en,N,Y,0
21,11,R. Whiting,R,N,en,N,Y,0
21,11,Ernie Altschuler,R,N,en,N,Y,0
73,11,貝西伯爵大樂團,R,N,cmn-Hant,Y,N,0
21,11,Count Basie & His Orchestra,R,N,en,N,Y,0
76,11,カウントベイシーオーケストラ,R,N,ja-Kana,Y,N,0
75,11,Count Basie Orchestra,R,N,ja-Hani,Y,N,0
21,11,Gus Kahn,R,N,en,N,N,0
75,11,Gus Kahn,R,N,ja-Hani,Y,N,0
21,11,Nick Travis,R,N,en,N,Y,0
21,11,Danny Bennett,R,N,en,N,Y,0
21,11,H. Arlen,R,N,en,N,Y,0
21,11,Burt Collins,R,N,en,N,Y,0
21,11,Harry Brooks,R,N,en,N,Y,0
21,11,Paul Langosch,R,N,en,N,Y,0
21,11,Joe Morello,R,N,en,N,Y,0
21,11,Romeo Penque,R,N,en,N,Y,0
21,11,Anthony Sophos,R,N,en,N,Y,0
21,11,Sammy Fain,R,N,en,N,N,0
75,11,Sammy Fain,R,N,ja-Hani,Y,N,0
21,11,Dorothy Fields,R,N,en,N,N,0
75,11,Dorothy Fields,R,N,ja-Hani,Y,N,0
21,11,Candido,R,N,en,N,Y,0
73,11,保羅戴斯蒙,R,N,cmn-Hant,Y,N,0
21,11,Mohandas Dewese,R,N,en,N,Y,0
21,11,Pete Q. Harris,R,N,en,N,Y,0
21,11,LaVaba Mallison,R,N,en,N,Y,0
21,11,Robert Wells,R,N,en,N,N,0
75,11,Robert Wells,R,N,ja-Hani,Y,N,0
21,11,"Bryan ""Chuck"" New",R,N,en,N,Y,0
21,11,Teddy Riley,R,N,en,N,Y,0
73,11,柯莫迪,R,N,cmn-Hant,Y,N,0
21,11,Kool Moe Dee,R,N,en,N,Y,0
21,11,Paul Desmond,R,N,en,N,Y,0
75,11,Paul Desmond,R,N,ja-Hani,Y,N,0
21,11,Andy Razaf,R,N,en,N,Y,0
21,11,Ralph Sharon,R,N,en,N,Y,0
21,11,N. Moret,R,N,en,N,Y,0
21,11,Lou Levy,R,N,en,N,Y,0
21,11,Jule Styne,R,N,en,N,N,0
75,11,Jule Styne,R,N,ja-Hani,Y,N,0
21,11,Bobby Hackett & His Sextet,R,N,en,N,Y,0
21,11,J.F. Coots,R,N,en,N,Y,0
21,11,J. Latouche,R,N,en,N,Y,0
