name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
Elliot Cleverdon,R,1,,2086477,1.0,,,,1.0,N,,21.0
Dayo Moshood,R,1,,2086967,1.0,,,,1.0,N,,21.0
Louise Bouget,R,1,,2088047,1.0,,,,1.0,N,,23.0
Priyalal Saha,R,1,,2087233,1.0,,,,1.0,N,,21.0
Indigo,R,1,,2088167,1.0,,,,1.0,N,,21.0
TheBehz,R,1,,2087586,1.0,,,,1.0,N,,21.0
Southside,R,1,,1734440,1.0,,,,1.0,Y,,21.0
Anas,R,1,,1697979,1.0,,,,1.0,N,,21.0
Afgan,R,1,,997821,1.0,,,,1.0,N,,21.0
Gradur,R,1,,1417279,1.0,,,,1.0,N,,21.0
Sérgio Jr.,R,1,,2054694,1.0,,,,1.0,N,,21.0
Luchè,R,1,,1461209,1.0,,,,1.0,N,,24.0
Lil Durk,R,1,,1344115,1.0,,,,1.0,Y,,21.0
Esther Geraldine,R,1,,2023623,1.0,,,,1.0,N,,21.0
Anas feat. Gradur,R,1,,2084238,1.0,,,,16.0,N,,22.0
Southside & Lil Durk,R,1,,2081304,1.0,,,,16.0,N,,21.0
Paky,R,1,,1868357,1.0,,,,1.0,N,,21.0
Ella Mai,R,1,,1635774,1.0,,,,1.0,N,,21.0
Afgan & Esther Geraldine,R,1,,2077871,1.0,,,,16.0,N,,21.0
Luchè feat. Paky,R,1,,2079592,1.0,,,,16.0,N,,21.0
A Boogie Wit Da Hoodie,R,1,,1679125,1.0,,,,1.0,Y,,21.0
Lil Durk feat. Ella Mai & A Boogie Wit Da Hoodie,R,1,,2079314,1.0,,,,16.0,Y,,21.0
Doums,R,1,,2043832,1.0,,,,1.0,N,,22.0
Laylow,R,1,,1786875,1.0,,,,1.0,N,,21.0
Doums feat. Laylow,R,1,,2082277,1.0,,,,16.0,N,,21.0
Nilson Matta,R,1,,171908,1.0,,,,1.0,N,,21.0
Valery Gergiev,R,1,,43705,1.0,,,,1.0,N,,21.0
Derrick Milano,R,1,,1770758,1.0,,,,1.0,N,,21.0
Robin Gibb,R,1,,23413,1.0,,,,1.0,N,,21.0
Tim Roberts,R,1,,144865,1.0,,,,1.0,N,,21.0
Jovonn Alexander,R,1,,210269,1.0,,,,1.0,N,,21.0
Falco feat. Edita Malovcic,R,1,,1659500,1.0,,,,16.0,N,,21.0
Chris Theis,R,1,,134742,1.0,,,,1.0,N,,21.0
Scott Riebling,R,1,,228088,1.0,,,,1.0,N,,21.0
Siete,R,1,,325821,1.0,,,,1.0,N,,21.0
Barny,R,1,,354540,1.0,,,,1.0,,,21.0
Jon Smith,R,1,,167148,1.0,,,,1.0,,,21.0
Ray Seay,R,1,,173786,1.0,,,,1.0,,,21.0
Petey Pablo,R,1,,257362,1.0,,,,1.0,N,,21.0
Falco feat. Fettes Brot,R,1,,1659504,1.0,,,,16.0,N,,21.0
Bruce Rutherford,R,1,,165861,1.0,,,,1.0,,,21.0
Alan Jackson,R,1,,4859,1.0,,,,0.0,Y,,21.0
Mashonda Trifrere,R,1,,501668,1.0,,,,1.0,Y,,21.0
Twista,R,1,,203502,1.0,,,,1.0,N,,21.0
Jim Abbiss,R,1,,175040,1.0,,,,1.0,,,21.0
Penelope Magnet,R,1,,328279,1.0,,,,1.0,,,21.0
John Hanes,R,1,,175092,1.0,,,,1.0,N,,21.0
Paul Boutin,R,1,,185334,1.0,,,,1.0,N,,21.0
Jermaine Dupri,R,1,,45992,1.0,,,,1.0,Y,,21.0
Ivy Skoff,R,1,,148110,1.0,,,,1.0,N,,21.0
Daryl Simmons,R,1,,37049,1.0,,,,1.0,N,,21.0
David Castell,R,1,,217188,1.0,,,,1.0,N,,21.0
Vinícius Romero,R,1,,1724597,1.0,,,,1.0,N,,21.0
Wiener Philharmoniker,R,1,,40935,1.0,,,,15.0,N,,21.0
Jim McBride,R,1,,31404,1.0,,,,1.0,,,21.0
Jason Dale,R,1,,272182,1.0,,,,1.0,N,,21.0
Kamel Abdo,R,1,,195797,1.0,,,,1.0,,,21.0
Babyface,R,1,,15178,1.0,,,,1.0,Y,,21.0
Cory Evans,R,1,,21703,1.0,,,,1.0,,,21.0
Brian Frye,R,1,,128650,1.0,,,,1.0,,,21.0
Chris Karloff,R,1,,319701,1.0,,,,1.0,,,21.0
Petey Pablo feat. Twista & Jermaine Dupri,R,1,,355200,1.0,,,,0.0,N,,21.0
Jürgen Wind,R,1,,58690,1.0,,,,1.0,N,,21.0
Earl Jackson And His Musical Champions,R,1,,90735,1.0,,,,15.0,,,21.0
Gregg Pagani,R,1,,295512,1.0,,,,1.0,N,,21.0
Toni Braxton,R,1,,58523,1.0,,,,0.0,N,,21.0
Mashonda,R,1,,349337,1.0,,,,0.0,N,,21.0
Tom Coyne,R,1,,163195,1.0,,,,1.0,N,,21.0
Brian Stanley,R,1,,159502,1.0,,,,1.0,,,21.0
Quickmix,R,1,,34029,1.0,,,,1.0,N,,21.0
Clarence Allen,R,1,,396372,1.0,,,,1.0,N,,21.0
Sergio Pizzorno,R,1,,319700,1.0,,,,1.0,N,,21.0
Kasseem Dean,R,1,,269890,1.0,1978-09-13 00:00:00,,,1.0,N,,21.0
Nathan Morris,R,1,,45001,1.0,,,,1.0,N,,21.0
Antoine Fuqua,R,1,,237689,1.0,,,,1.0,N,,21.0
"Moses Barrett, III",R,1,,314562,1.0,,,,1.0,,,21.0
Heather Headley,R,1,,227193,1.0,,,,0.0,N,,21.0
Chris Pratt,R,1,,1106529,1.0,,,,1.0,N,,21.0
L.A. Reid,R,1,,427288,1.0,,,,1.0,N,,21.0
Tim Ronaghan,R,1,,272183,1.0,,,,1.0,N,,21.0
Shawn Stockman,R,1,,45002,1.0,,,,1.0,N,,21.0
Karin Kasar,R,1,,1574410,1.0,,,,1.0,N,,21.0
Chris Edwards,R,1,,362208,1.0,,,,1.0,N,,21.0
Wanya Morris,R,1,,400833,1.0,,,,1.0,N,,21.0
Real McCoy,R,1,,29261,1.0,,,,0.0,N,,21.0
Michael McCary,R,1,,276385,1.0,,,,1.0,N,,21.0
Tom Meighan,R,1,,362205,1.0,,,,1.0,N,,21.0
Herbie Powers Jr.,R,1,,253855,1.0,,,,1.0,N,,21.0
Ian Matthews,R,1,,6538,1.0,,,,1.0,N,,21.0
Boyz II Men,R,1,,13625,1.0,,,,15.0,N,,21.0
Kasabian,R,1,,319561,1.0,,,,0.0,N,,21.0
Swizz Beatz,R,1,,192749,1.0,,,,1.0,Y,,21.0
Larry Phillabaum,R,1,,284827,1.0,,,,1.0,N,,21.0
Keith Stegall,R,1,,37862,1.0,,,,1.0,,,21.0
Olaf Jeglitza,R,1,,263639,1.0,,,,1.0,N,,21.0
João Elias Jr.,R,1,,1889475,1.0,,,,1.0,N,,18.0
Michael Binka,R,1,,355201,1.0,,,,1.0,,,21.0
Bob Carlisle,R,1,,17927,1.0,,,,1.0,N,,21.0
Pamela Major,R,1,,163645,1.0,,,,1.0,N,,21.0
Tim Lauber,R,1,,163649,1.0,,,,1.0,N,,21.0
Ellen Foley,R,1,,190644,1.0,,,,1.0,N,,21.0
"T. ""Sunny Boy"" Turpin",R,1,,166922,1.0,,,,1.0,N,,21.0
"Steven ""Stevie J."" Jordan",R,1,,166923,1.0,,,,1.0,N,,21.0
Linda Creed,R,1,,19208,1.0,,,,1.0,N,,21.0
Kim Cooper,R,1,,166928,1.0,,,,1.0,Y,,21.0
T. Stinson-Jackson,R,1,,168871,1.0,,,,1.0,N,,21.0
Naomi Canada Fennell,R,1,,166929,1.0,,,,1.0,N,,21.0
