status_ky,last_upd_src_sys_ky,publisher_tx,encoding_tx,track_link_type_ky,component_prod_type_ky,track_id,component_no,track_no,skip_no,movement_cnt,side_lbl,grid_id,error_flag_in,side_no,is_partial_work_flag,raas_sequence_number,display_title_override,ignore_supplemental_title_flag,preorder_type_cd,duration_no,hiddentrack_prvtrack_in,hiddentrack_prvtrack_parent_ky,aris_link_grid
R,1,"ECAF Music, Inc./Hypekeez Muzik/Tom's Kid Music",,1,94764,1,1,1,1,0,A,A10328E00039614619,,1,,1,,N,N,,,,
R,1,EMI,,1,94697,1,1,1,1,0,A,A10328E00095690955,,1,,1,,N,N,,,,
R,1,"Harms Inc./WB Music Corp./Warner Bros Music/Warner Bros., Inc.",,1,6659436,1,1,1,1,0,A,A10328E00030874840,,1,,1,,N,N,,,,
R,1,"BMG Music Publishing (Malaysia) Sdn Bhd/BMG Music Publishing (Singapore) Pte Ltd/BMG Music Publishing HK Ltd./BMG Music Taiwan, Inc./BMG Records (Pilipinas), Inc./Campbell Connelly & Co.Ltd.",,1,6659436,1,1,2,2,0,A,A10328E00030874823,,1,,2,,N,N,,,,
R,1,"Aldi Music/Chappell Music/Happy Aspen Music LLC/PT Suara Publishindo/Polygram International Publishing, Inc./Polygram Universal Music Publishing",,1,6659436,1,1,3,3,0,A,A10328E00030874831,,1,,3,,N,N,,,,
R,1,Chappel & Co. Inc.,,1,6659436,1,1,4,4,0,A,A10328E00030874815,,1,,4,,N,N,,,,
R,1,BMG Music Publishing (Singapore) Pte Ltd/Famous Music Corp./Sony/ATV Harmony,,1,6659436,1,1,5,5,0,A,A10328E00030874807,,1,,5,,N,N,,,,
R,1,"Chappell & Co./Copyright Control/Gershwin Pub Corp/Warner/Chappell Music, Hong Kong Limited",,1,6659436,1,1,6,6,0,A,A10328E0003087478W,,1,,6,,N,N,,,,
R,1,"Bug Music, Inc./EMI Music Publishing Hong Kong/EMI Music Publishing Malaysia Sdn. Bhd./EMI Music Publishing Philippines/EMI Music Publishing Singapore/EMI Music Publishing Taiwan",,1,6659436,1,1,7,7,0,A,A10328E0003087479U,,1,,7,,N,N,,,,
R,1,"Anne-Rachel Music/EMI Mills Music/EMI Mills Music, Inc./Joy Music Inc./Larry Spier Music LLC/MILLS-INACTIVE",,1,6659436,1,1,8,8,0,A,A10328E00030874760,,1,,8,,N,N,,,,
