prod_type_ky,raas_config_ky,name_nm,short_name_nm,upc_config_cd,no_of_sides_no,has_scribe_no_in,is_dmd_config_in,has_x_rate_in,can_be_copy_controlled_in,is_dvd_config_in,is_enhanced_config_in,is_single_track_config_in,media_type_ky,condition_descr_tx,tracks_need_for_complete_in,gas_configuration_cd,status_ky,status_dt,create_dt,amend_dt,eom_support_in,config_cat_ky
35891870,00,Promotional material,PRO-M,0,1,N,N,N,N,,N,N,4,Promotional material,N,031,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2009-09-01 21:03:14,,M
94732,12,7 inch Vinyl Single,"7""   ",7,2,Y,N,N,N,N,N,N,1,"up to 2 different Assets, max. playing time 8 minutes",Y,001,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
46643532,13,7 inch Vinyl Extended Play 45,45EP ,7,2,Y,N,N,N,N,N,N,1,"up to 4 different Assets, max. playing time 16 minutes",Y,126,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
94711,14,7 inch Vinyl EP 33 1/3,33EP ,7,2,Y,N,N,N,N,N,N,1,"up to 6 different Assets, max. playing time 20 minutes",Y,002,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
46643531,15,10 inch Vinyl Longplay 33 1/3,"LP10""",1,2,Y,N,N,N,,N,N,1,"up to 10 different Assets, max. playing time 30 minutes",Y,127,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
163945,16,Vinyl Longplay 33 1/3,LP   ,1,2,Y,N,N,N,,N,N,1,"up to 20 different Assets, max. playing time 60 minutes",Y,010,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
94742,18,12 inch Maxi-Single Vinyl,"12""  ",1,2,Y,N,N,N,,N,N,1,"up to 4 different Assets, max. playing time 16 minutes",Y,005,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
94749,20,Mini-Disc Extended Play,MDM  ,2,1,N,N,N,Y,,N,N,1,"up to 5 different Assets, max. playing time 23 minutes",Y,003,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
94734,22,Cassette Single,SMC  ,4,2,N,N,N,N,N,N,N,1,"up to 2 different Assets, max. playing time 8 minutes",Y,007,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
94735,23,Cassette Extended Play,MMC  ,4,2,N,N,N,N,N,N,N,1,"up to 4 different Assets, max. playing time 16 minutes",Y,008,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
163938,26,Cassette Longplay,MC   ,4,2,N,N,N,N,,N,N,1,"up to 20 different Assets, max. playing time 60 minutes",Y,040,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
94826,27,Double-Play Cassette,DMC  ,4,2,N,N,N,N,,N,N,1,"up to 32 different Assets, max. playing time 120 minutes",Y,145,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
163944,30,Super Audio CD,SACD ,2,1,N,N,N,Y,,Y,N,1,"up to 20 different audio Assets, max. playing time 80 minutes, consists of high density (HD) layers, can only be played on a SACD Player",Y,048,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
163935,31,CD Longplay,CD   ,2,1,N,N,N,Y,N,N,N,1,"8 up to 20 different Assets, max. playing time 80 minutes",Y,017,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2016-08-11 06:31:12,P,C
94750,32,5 inch Maxi-Single-CD,"5""   ",2,1,N,N,N,Y,,N,N,1,"3 -4 different Assets, up to 8 versions of the same Asset (different mixes), max. playing time 23 minutes",Y,004,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
94743,34,3 inch CD Single,"3""   ",2,1,N,N,N,Y,,N,N,1,"up to 5 different Assets, max. playing time 23 minutes",Y,011,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
94733,35,5 inch CD Single,"5""SCD",2,1,N,N,N,Y,,N,N,1,1 - 2 Assets,Y,006,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
79792421,36,CD-ROM (audio),CDRA ,2,1,N,N,N,Y,,Y,N,3,CD-ROM (audio) consists only of audio Assets. Discs comprised entirely of MP3s should be setup using this configuration.,Y,070,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,J
163943,37,Mini-Disc Longplay,MD   ,2,1,N,N,N,Y,,N,N,1,"up to 20 different Assets, max. playing time 80 minutes",Y,050,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
163936,39,Enhanced CD Longplay,ECD  ,2,1,N,N,Y,Y,,Y,N,3,"up to 20 different Assets plus a non-limited number of multi-media elements (videos, interviews etc.), max. playing time 80 minutes",Y,071,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
94748,40,Enhanced Maxi-CD,EMCD ,2,1,N,N,Y,Y,,Y,N,3,"3 - 4 different Assets, up to 8 versions of the same Asset (different mixes) plus a non-limited number of multi-media elements (videos, interviews etc.), max. playing time 23 minutes",Y,073,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
1150286,41,DAT Longplay,DAT  ,4,1,N,N,N,N,,N,N,1,Digital Audio Tape,Y,027,R,2022-02-22 08:47:08,2007-06-14 11:26:58,2022-02-22 08:58:39,,C
13232959,43,Digital Compact Cassette Album,DCC  ,5,2,N,N,N,N,,N,N,1,"up to 20 different Assets, max. playing time 80 minutes, it has the same format than a normal cassette but music is digitally encoded on it. DCC was discontinued in November 1996",Y,045,R,2022-02-22 08:47:08,2007-06-14 11:26:58,2022-02-22 08:58:39,,C
94689,47,Enhanced CD Single,ESCD5,2,1,N,N,Y,Y,,Y,N,3,"1 - 2 Assets plus a non-limited number of multi-media elements (videos, interviews etc.)",Y,012,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
46643527,52,DataPlay,DP   ,5,2,N,N,N,N,,Y,N,3,"small CD (about the size of a 25-cent coin) encased in clear plastic, can hold up to 500 MB and can only be played on special players, contains audio and video Assets",Y,128,R,2022-02-22 08:47:08,2007-06-14 11:26:58,2022-02-22 08:58:39,,C
163941,57,DVD Audio Album,DVD-A,9,1,N,N,N,Y,,Y,N,3,"DVD Audio consists of audio Assets, main part is audio, a small number of video content can be available, can only be played on a DVD-Audio player",Y,086,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,C
46643523,58,DVD+,DVD+ ,9,2,N,N,Y,Y,Y,Y,N,3,"both sides playable; one side only audio Assets, second side video content",Y,129,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2020-11-09 00:09:04,P,C
94726,63,VHS Longplay,VID  ,3,1,N,N,Y,Y,,N,N,2,Video Tape,Y,055,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,F
94760,72,PC-Floppy,PCFL ,2,0,N,N,N,Y,N,N,N,3,PC Floppy,N,082,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2010-02-10 21:02:56,,J
163942,73,DVD Video Longplay,DVD-V,9,1,N,N,Y,Y,Y,Y,N,3,"DVD Videos can have video Assets, audio Assets, ROM contents, links etc., is used for both, movies and music DVD's",Y,085,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2020-11-09 00:09:05,P,F
94723,77,VHS Single,VIDSI,3,1,N,N,Y,N,,N,N,2,Video Single,Y,054,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,A
163937,82,Laser Disc,LD   ,6,2,N,N,Y,N,,N,N,2,Laser Disc,Y,061,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,F
94684,84,CD-ROM,CDROM,2,1,N,N,Y,Y,,Y,N,3,"CD-ROM generally have just one ROM Asset, e. g. PC game etc.",N,070,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2014-07-19 09:29:26,P,J
94685,85,CD Video,VIDCD,2,1,N,N,Y,Y,,N,N,2,Video-CD,Y,083,R,2007-06-14 11:26:58,2007-06-14 11:26:58,2009-09-01 21:03:14,,F
