language_ky,trans_col_type_ky,trans_col_value,status_ky,isdefault,ietf_lang_script_tag,use_as_local_language,is_native,id_no
21,11,Anas,R,N,en,N,Y,0
22,11,Doums,R,N,fr,N,Y,0
21,11,Paky,R,N,en,N,N,0
21,11,Gradur,R,N,en,N,Y,0
21,11,Southside,R,N,en,N,Y,0
21,11,Afgan & Esther Geraldine,R,N,en,N,Y,0
21,11,Laylow,R,N,en,N,Y,0
21,11,Little Voice Cast,R,N,en,N,N,0
73,11,莎拉芭瑞黎絲,R,N,cmn-Hant,Y,N,0
21,11,Sara Bareilles,R,N,en,N,Y,0
76,11,サラバレリス,R,N,ja-Kana,Y,N,0
75,11,Sara Bareilles,R,N,ja-Hani,Y,N,0
21,11,Afgan,R,N,en,N,Y,0
24,11,Luchè,R,N,it,N,Y,0
21,11,Esther Geraldine,R,N,en,N,N,0
21,11,Ella Mai,R,N,en,N,Y,0
22,11,Anas feat. Gradur,R,N,fr,N,Y,0
21,11,Lil Durk,R,N,en,N,Y,0
21,11,Luchè feat. Paky,R,N,en,N,Y,0
21,11,Doums feat. Laylow,R,N,en,N,Y,0
21,11,A Boogie Wit Da Hoodie,R,N,en,N,Y,0
21,11,Southside & Lil Durk,R,N,en,N,Y,0
21,11,Lil Durk feat. Ella Mai & A Boogie Wit Da Hoodie,R,N,en,N,Y,0
21,11,Jim Abbiss,R,N,en,N,Y,0
21,11,Glen Marchese,R,N,en,N,Y,0
21,11,Chris Theis,R,N,en,N,Y,0
21,11,Cory Evans,R,N,en,N,Y,0
21,11,Brian Frye,R,N,en,N,Y,0
21,11,Brian Stanley,R,N,en,N,Y,0
21,11,Jon Smith,R,N,en,N,Y,0
21,11,Ray Seay,R,N,en,N,Y,0
21,11,Kamel Abdo,R,N,en,N,Y,0
21,11,"Moses Barrett, III",R,N,en,N,Y,0
21,11,Penelope Magnet,R,N,en,N,Y,0
21,11,Petey Pablo,R,N,en,N,Y,0
21,11,Twista,R,N,en,N,Y,0
21,11,Swizz Beatz,R,N,en,N,Y,0
21,11,Kasseem Dean,R,N,en,N,Y,0
21,11,Larry Phillabaum,R,N,en,N,Y,0
21,11,Siete,R,N,en,N,Y,0
21,11,Mashonda Trifrere,R,N,en,N,Y,0
21,11,Elliot Cleverdon,R,N,en,N,Y,0
21,11,Priyalal Saha,R,N,en,N,Y,0
21,11,Dayo Moshood,R,N,en,N,Y,0
23,11,Louise Bouget,R,N,es,N,Y,0
21,11,Indigo,R,N,en,N,Y,0
21,11,TheBehz,R,N,en,N,Y,0
21,11,Jermaine Dupri,R,N,en,N,Y,0
21,11,Petey Pablo feat. Twista & Jermaine Dupri,R,N,en,N,Y,0
21,11,Michael Binka,R,N,en,N,Y,0
73,11,娃娃臉,R,N,cmn-Hant,Y,N,0
21,11,Mashonda,R,N,en,N,N,0
21,11,Babyface,R,N,en,N,Y,0
76,11,ベイビーフェイス,R,N,ja-Kana,Y,N,0
75,11,Babyface,R,N,ja-Hani,Y,N,0
21,11,Tim Roberts,R,N,en,N,Y,0
21,11,Serban Ghenea,R,N,en,N,Y,0
21,11,John Hanes,R,N,en,N,Y,0
21,11,Paul Boutin,R,N,en,N,Y,0
73,11,海瑟海德利,R,N,cmn-Hant,Y,N,0
21,11,Heather Headley,R,N,en,N,Y,0
75,11,ヘザー・ヘッドリー,R,N,ja-Hani,Y,N,0
75,11,マションダ,R,N,ja-Hani,Y,N,0
76,11,マションダ,R,N,ja-Kana,Y,N,0
76,11,ヘザーヘッドリー,R,N,ja-Kana,Y,N,0
21,11,Gregg Pagani,R,N,en,N,N,0
75,11,Gregg Pagani,R,N,ja-Hani,Y,N,0
21,11,Clarence Allen,R,N,en,N,Y,0
21,11,Chris Pratt,R,N,en,N,Y,0
21,11,Chris Edwards,R,N,en,N,Y,0
21,11,Ian Matthews,R,N,en,N,N,0
75,11,IAN MATTHEWS,R,N,ja-Hani,Y,N,0
73,11,卡薩比恩,R,N,cmn-Hant,Y,N,0
21,11,Kasabian,R,N,en,N,Y,0
76,11,カサビアン,R,N,ja-Kana,Y,N,0
75,11,Kasabian,R,N,ja-Hani,Y,N,0
21,11,Sergio Pizzorno,R,N,en,N,Y,0
21,11,Chris Karloff,R,N,en,N,Y,0
21,11,Barny,R,N,en,N,Y,0
21,11,Tom Meighan,R,N,en,N,Y,0
