ORA_TABLE_NAME,COLUMN NEED TO IGNORE 1,COLUMN NEED TO IGNORE 2,COLUMN NEED TO IGNORE 3,COLUMN NEED TO IGNORE 4,COLUMN NEED TO IGNORE 5,COLUMN NEED TO IGNORE 6,COLUMN NEED TO IGNORE 7,COLUMN NEED TO IGNORE 8,COLUMN NEED TO IGNORE 9,COLUMN NEED TO IGNORE 10,COLUMN NEED TO IGNORE 11,COLUMN NEED TO IGNORE 12,COLUMN NEED TO IGNORE 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
MI2.MI_PRODUCT,PRODUCT_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,,
MI2.MI_RECORDING_PROJ,RECORDING_PROJ_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,,
MI2.MI_TALENT,TALENT_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,,
MI2.MI_TALENT_ML,TALENT_ML_KY,TALENT_KY,CREATE_DT,STATUS_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,
MI2.MI_BONUS,BONUS_KY,PERFORMANCE_KY,PRODUCT_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,
MI2.MI_OBJECT_SRCKEY,OBJECT_KY,STATUS_DT,CREATE_DT,AMEND_DT,SOURCE_DT,,,,,,,,,,,,,,,,,,,
MI2.MI_PERFORMANCE_LOCAL_GENRE,PERF_LOCAL_GENRE_KY,PERFORMANCE_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,
MI2.MI_PERFORMANCE_TALENT_ML,PERFORMANCE_TALENT_ML_KY,PERFORMANCE_TALENT_KY,CREATE_DT,STATUS_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,
MI2.MI_SPLIT_DEAL,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,,,
MI2.MI_SPLIT_RO_PERF_EXCLUDE,SPLIT_RO_PERF_EXC_KY,PERFORMANCE_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,
MI2.MI_SPLIT_RO_TALENT_INCLUDE,SPLIT_RO_TALENT_INC_KY,TALENT_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,
MI2.MI_TALENT_ML_PRONUNCIATION,TALENT_ML_PRONUNC_KY,TALENT_ML_KY,CREATE_DT,STATUS_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,
MI2.MI_TRACK_FOCUS_INCLUDE,TRACK_FOCUS_INCLUDE_KY,PERFORMANCE_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,,,,,,,,
mi2.mi_performance_extract2_pgmv,PERF_VERSION_INDICATOR_KY,PERFORMANCE_FOOTAGE_TYPE_KY,PERFORMANCE_KEYWORD_KY,PERFORMANCE_LYRICS_KY,PERFORMANCE_MOOD_KY,PERFORMANCE_RATING_KY,PERF_RELATED_AUDIO_KY,PERF_ACTIVITY_THEME_KY,PERFORMANCE_KY,STATUS_DT,CREATE_DT,AMEND_DT,RAAS_TIMESTAMP,,,,,,,,,,,
