ORA_TABLE_NAME,PG_TABLE_NAME,KEYS_AVAILABLE,COMPARE_NEEDED,COLUMN_NEED_TO_IGNORE,NUM_OF_COLUMN_NEED_TO_IGNORE
MI2.MI_PERFORMANCE,MI2.MI_PERFORMANCE,YES,NO,YES,
MI2.MI_PRODUCT,MI2.MI_PRODUCT,YES,NO,YES,
MI2.MI_PRODUCT_ML,MI2.MI_PRODUCT_ML,NO,NO,YES,
MI2.MI_PRODUCT_MOOD,MI2.MI_PRODUCT_MOOD,NO,NO,YES,
MI2.MI_RECORDING_PROJ,MI2.MI_RECORDING_PROJ,YES,NO,YES,
MI2.MI_TALENT,MI2.MI_TALENT,YES,NO,YES,
MI2.MI_TALENT_ML,MI2.MI_TALENT_ML,NO,NO,YES,
MI2.MI_TRACK,MI2.MI_TRACK,NO,NO,YES,
MI2.MI_BONUS,MI2.MI_BONUS,NO,NO,YES,
MI2.MI_OBJECT_SRCKEY,MI2.MI_OBJECT_SRCKEY,YES,NO,YES,
MI2.MI_PERFORMANCE_LOCAL_GENRE,MI2.MI_PERFORMANCE_LOCAL_GENRE,NO,NO,YES,
MI2.MI_PERFORMANCE_TALENT_ML,MI2.MI_PERFORMANCE_TALENT_ML,NO,NO,YES,
MI2.MI_PERF_ML_PRONUNCIATION,MI2.MI_PERF_ML_PRONUNCIATION,NO,NO,YES,
MI2.MI_PERF_PRN_OVRD_TITLE_ML,MI2.MI_PERF_PRN_OVRD_TITLE_ML,NO,NO,YES,
MI2.MI_PRODUCT_KEYWORD,MI2.MI_PRODUCT_KEYWORD,NO,NO,YES,
MI2.MI_PRODUCT_SYNOPSIS,MI2.MI_PRODUCT_SYNOPSIS,NO,NO,YES,
MI2.MI_PRODUCT_SYNOPSIS_LONG,MI2.MI_PRODUCT_SYNOPSIS_LONG,NO,NO,YES,
MI2.MI_PROD_AUDIOBOOK_DESC,MI2.MI_PROD_AUDIOBOOK_DESC,NO,NO,YES,
MI2.MI_PROD_AUDIOBOOK_DESC_PART,MI2.MI_PROD_AUDIOBOOK_DESC_PART,NO,NO,YES,
MI2.MI_SONG,MI2.MI_SONG,NO,NO,YES,
MI2.MI_SPLIT_DEAL,MI2.MI_SPLIT_DEAL,YES,NO,YES,
MI2.MI_SPLIT_RO_PERF_EXCLUDE,MI2.MI_SPLIT_RO_PERF_EXCLUDE,NO,NO,YES,
MI2.MI_SPLIT_RO_TALENT_INCLUDE,MI2.MI_SPLIT_RO_TALENT_INCLUDE,NO,NO,YES,
MI2.MI_TALENT_ML_PRONUNCIATION,MI2.MI_TALENT_ML_PRONUNCIATION,NO,NO,YES,
MI2.MI_TRACK_FOCUS_INCLUDE,MI2.MI_TRACK_FOCUS_INCLUDE,NO,NO,YES,
mi2.mi_performance_extract2_pgmv,testuser.mi_performance_extract2_pgmv,NO,NO,YES,
mi2.mi_recording_proj_ml_pgmv,testuser.mi_recording_proj_ml_pgmv,NO,NO,YES,
mi2.mi_rec_proj_contract_pgmv,testuser.mi_rec_proj_contract_pgmv,NO,NO,YES,
mi2.mi_rec_proj_country_pgmv,testuser.mi_rec_proj_country_pgmv,NO,NO,YES,
mi2.mi_rec_proj_prod_pgmv,testuser.mi_rec_proj_prod_pgmv,NO,NO,YES,
mi2.mi_mi_rec_proj_tal_pgmv,testuser.mi_mi_rec_proj_tal_pgmv,NO,NO,YES,
mi2.mi_rec_proj_tal_ml_pgmv,testuser.mi_rec_proj_tal_ml_pgmv,NO,NO,YES,
MI2.A,MI2.B,NO,YES,YES,
