ORA_TABLE_NAME,PG_TABLE_NAME,KEYS_AVAILABLE,COMPARE_NEEDED,COLUMN_NEED_TO_IGNORE,NUM_OF_COLUMN_NEED_TO_IGNORE
MI2.MI_PRODUCT,MI2.MI_PRODUCT,YES,YES,YES,
MI2.MI_RECORDING_PROJ,MI2.MI_RECORDING_PROJ,YES,NO,YES,
MI2.MI_TALENT,MI2.MI_TALENT,YES,NO,YES,
MI2.MI_OBJECT_SRCKEY,MI2.MI_OBJECT_SRCKEY,YES,NO,YES,
MI2.MI_PERFORMANCE_LOCAL_GENRE,MI2.MI_PERFORMANCE_LOCAL_GENRE,NO,NO,YES,
MI2.MI_SPLIT_DEAL,MI2.MI_SPLIT_DEAL,YES,NO,YES,
mi2.mi_performance_extract2_pgmv,testuser.mi_performance_extract2_pgmv,NO,NO,YES,
mi2.mi_recording_proj_ml_pgmv,testuser.mi_recording_proj_ml_pgmv,NO,NO,YES,
mi2.mi_rec_proj_contract_pgmv,testuser.mi_rec_proj_contract_pgmv,NO,NO,YES,
mi2.mi_rec_proj_country_pgmv,testuser.mi_rec_proj_country_pgmv,NO,NO,YES,
mi2.mi_rec_proj_prod_pgmv,testuser.mi_rec_proj_prod_pgmv,NO,NO,YES,
mi2.mi_mi_rec_proj_tal_pgmv,testuser.mi_mi_rec_proj_tal_pgmv,NO,NO,YES,
mi2.mi_rec_proj_tal_ml_pgmv,testuser.mi_rec_proj_tal_ml_pgmv,NO,NO,YES,
mi2.mi_genre_product_pgmv,testuser.mi_genre_product_pgmv,NO,NO,YES,
mi2.mi_overridedisptxt_role_ml_pgmv,testuser.mi_overridedisptxt_role_ml_pgmv,NO,NO,YES,
MI2.MI_MASTER_CLONE_PRODUCT_NEW,MI2.MI_MASTER_CLONE_PRODUCT_NEW,YES,NO,YES,
MI2.MI_OVERRIDEDISPTXT_ROLE,MI2.MI_OVERRIDEDISPTXT_ROLE,YES,NO,YES,
MI2.MI_PUBLISHER_LOOKUP,MI2.MI_PUBLISHER_LOOKUP,YES,NO,YES,
mi2.mi_performance_extract1_pgmv,testuser.mi_performance_extract1_pgmv,YES,NO,YES,
mi2.mi_performance_extract3_pgmv,testuser.mi_performance_extract3_pgmv,NO,NO,YES,
mi2.mi_product_extract2_pgmv,testuser.mi_product_extract2_pgmv,NO,NO,YES,
mi2.mi_product_extract4_pgmv,testuser.mi_product_extract4_pgmv,NO,NO,YES,
mi2.mi_product_extract3_pgmv,testuser.mi_product_extract3_pgmv,NO,NO,YES,
mi2.mi_split_ro_perf_ie_extract1_pgmv,testuser.mi_split_ro_perf_ie_extract1_pgmv,NO,NO,YES,
mi2.mi_performance_extract4_pgmv,testuser.mi_performance_extract4_pgmv,NO,NO,YES,
mi_rel_lp_prod_extract1_pgmv,testuser.mi_rel_lp_prod_extract1_pgmv,NO,NO,YES,
mi2.mi_split_ro_talent_ie_pgmv,testuser.mi_split_ro_talent_ie_pgmv,NO,NO,YES,
mi2.mi_talent_info_pgmv,testuser.mi_talent_info_pgmv,NO,NO,YES,
mi2.mi_track_focus_ie_pgmv,testuser.mi_track_focus_ie_pgmv,NO,NO,YES,
mi2.mi_track_master_info1_pgmv,testuser.mi_track_master_info1_pgmv,NO,NO,YES,
mi2.mi_bonus_extract_pgmv,testuser.mi_bonus_extract_pgmv,NO,NO,YES,
mi2.mi_mi_perf_rec_proj_pgmv,testuser.mi_mi_perf_rec_proj_pgmv,NO,NO,YES,
